Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,MIDDLE,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME
e5ece0bf-7548-5635-b16a-b748e8934832,1945-09-15,,999-48-7124,,,,Aaron,,Abbott,,,S,asian,hispanic,M,Springfield  MA  US,82 Maple St,Springfield,MA,Springfield County,25013,01103,42.202464,-72.588880,34128.74,24587.16,19757
b8b8d8f9-b0cb-59a4-92c0-9a4092dd8e31,1990-05-16,,999-89-2781,,,,Beatriz,,Bell,,,S,other,hispanic,F,Worcester  MA  US,941 Oak St,Worcester,MA,Worcester County,25013,01608,42.760157,-72.627636,7493.58,37854.58,25571
b5a0da8e-a5f3-5e0e-9ef8-fae186df3e09,1978-11-03,,999-60-9816,,,,Chen,,Cortez,,,S,black,hispanic,M,Lowell  MA  US,812 Maple St,Lowell,MA,Lowell County,25013,01852,42.901482,-72.250284,7564.73,5957.24,144497
828cba51-0197-5fd7-8934-3b18a4e984d3,1947-01-20,,999-61-7329,,,,Dara,,Dunn,,,S,white,nonhispanic,F,Quincy  MA  US,499 Cedar St,Quincy,MA,Quincy County,25013,02169,42.790828,-72.237163,86161.99,8584.74,49662
643d3606-b2ab-58fa-bdf5-28856f84f1fb,1988-01-19,,999-17-5139,,,,Emeka,,Ellis,,,M,asian,nonhispanic,M,Springfield  MA  US,392 Cedar St,Springfield,MA,Springfield County,25013,01103,42.895158,-72.697660,81485.24,26754.00,43781
bf17a7c1-45b6-5a50-b743-04bff914e34c,1946-05-24,,999-40-9852,,,,Fatima,,Fowler,,,M,black,hispanic,F,Worcester  MA  US,573 Maple St,Worcester,MA,Worcester County,25013,01608,42.519854,-72.084860,33109.93,13557.11,170715
b50cdc50-c84d-5e5f-a15a-1c208a2f4cf4,1985-11-25,,999-42-6900,,,,Gustav,,Garza,,,S,black,hispanic,M,Lowell  MA  US,256 Maple St,Lowell,MA,Lowell County,25013,01852,42.339101,-72.446906,75317.44,708.25,170989
8fb6fa35-b6de-5dce-89e5-f5f66f0ef6f6,1999-03-09,,999-14-8836,,,,Hana,,Hahn,,,M,white,hispanic,F,Quincy  MA  US,378 Oak St,Quincy,MA,Quincy County,25013,02169,42.502361,-72.495686,12758.59,19488.63,127791
a94a7c6c-9bce-5cf7-b201-7d2c2dd55239,1980-07-19,,999-32-2938,,,,Idris,,Iverson,,,M,white,nonhispanic,M,Springfield  MA  US,720 Oak St,Springfield,MA,Springfield County,25013,01103,42.256900,-72.950430,82393.26,8666.25,53578
fe5217ef-4618-5659-a9f8-7200f08686b9,1992-05-30,,999-25-5110,,,,Jolene,,Jain,,,S,asian,hispanic,F,Worcester  MA  US,762 Maple St,Worcester,MA,Worcester County,25013,01608,42.600523,-72.730577,78073.68,32404.70,58135
6eb72d20-6f22-54da-be8f-ec7b20b6b800,1969-10-02,,999-14-2061,,,,Kwame,,Koch,,,M,other,nonhispanic,M,Lowell  MA  US,572 Oak St,Lowell,MA,Lowell County,25013,01852,42.696934,-72.590874,60485.46,21891.51,100585
0352fa4d-ce80-5762-98e3-87144d6b8dec,1986-02-13,,999-25-2590,,,,Lucia,,Lam,,,M,white,nonhispanic,F,Quincy  MA  US,655 Oak St,Quincy,MA,Quincy County,25013,02169,42.059443,-72.034004,20564.74,38776.53,21503
3c592001-d380-523d-bbd0-e8ea5cad3598,1986-10-23,,999-84-2823,,,,Mateo,,Marsh,,,S,white,nonhispanic,M,Springfield  MA  US,716 Maple St,Springfield,MA,Springfield County,25013,01103,42.675047,-72.423130,63654.79,33756.95,122534
77252f88-b8a1-5f5a-9770-a46740e130af,1976-07-19,,999-45-1032,,,,Nadia,,Novak,,,M,white,hispanic,F,Worcester  MA  US,622 Cedar St,Worcester,MA,Worcester County,25013,01608,42.732526,-72.423829,12565.37,39771.38,123005
33215bc2-0748-5e5b-bbca-7a40bf26121e,1970-04-19,,999-73-6522,,,,Omar,,Ortiz,,,S,asian,nonhispanic,M,Lowell  MA  US,267 Pine St,Lowell,MA,Lowell County,25013,01852,42.977562,-72.703306,31789.54,25013.80,39674
5d48ad4a-f7a5-5960-8747-0cca960810b7,2002-07-18,,999-58-1736,,,,Priya,,Pike,,,M,white,hispanic,F,Quincy  MA  US,993 Oak St,Quincy,MA,Quincy County,25013,02169,42.231884,-72.075121,9242.99,26907.80,114935
e698ff85-d7ba-5993-a7db-016f1dd5fbe4,1962-11-06,,999-42-9648,,,,Quinn,,Quintero,,,M,other,hispanic,M,Springfield  MA  US,865 Oak St,Springfield,MA,Springfield County,25013,01103,42.747868,-72.788618,60180.29,18925.43,178132
7486afb0-252d-5f24-83f0-dd67e28ed02b,1977-01-28,,999-33-6067,,,,Rosa,,Reyes,,,M,black,nonhispanic,F,Worcester  MA  US,210 Cedar St,Worcester,MA,Worcester County,25013,01608,42.158104,-72.120304,12103.23,11696.10,20495
2b9398c7-d902-596e-ba04-15c2b9d0c971,1979-02-22,,999-59-2082,,,,Samir,,Silva,,,S,asian,nonhispanic,M,Lowell  MA  US,499 Pine St,Lowell,MA,Lowell County,25013,01852,42.514732,-72.686191,44234.29,17131.25,31748
81b35a53-559f-598b-b79a-6778b9700917,1965-05-26,,999-72-1448,,,,Tova,,Tran,,,M,black,nonhispanic,F,Quincy  MA  US,721 Maple St,Quincy,MA,Quincy County,25013,02169,42.968443,-72.362628,89809.87,18168.45,112002
